periodo;ultimo_cierre;id;tipo_oc;n;beta;cambio_SL;trigger;SL_LP;Status;Monto Compra (lotes);Valor_actual
2022-01-01 10:00:00;3688,61;282;S;3702,9472413793105;4,481561053110651;3739,9767137931035;3777,3764809310346;2432,9081649978393;Abierta;0,1;0
2022-01-02 15:00:00;3776,81;290;I;3748,226551724138;4,4545228388781455;;3748,226551724138;2411,8697000606944;Abierta;0,1;0
2022-01-03 16:00:00;3746,39;297;I;3657,6679310344825;4,488365686180986;;3657,6679310344825;2311,158225180187;Abierta;0,1;0
2022-01-03 16:00:00;3746,39;304;I;3702,9472413793105;4,469258731973651;;3702,9472413793105;2362,169621787215;Abierta;0,1;0
2022-01-03 20:00:00;3698,35;313;S;3702,9472413793105;4,468302200830641;3739,9767137931035;3777,3764809310346;2436,8858206818422;Abierta;0,1;0
2022-01-04 10:00:00;3804,29;320;I;3793,5058620689656;4,427330056408964;;3793,5058620689656;2465,3068451462764;Abierta;0,1;0
2022-01-04 18:00:00;3769,09;326;I;3748,226551724138;4,445218714419726;;3748,226551724138;2414,66093739822;Abierta;0,1;0
2022-01-05 18:00:00;3746,9;340;I;3702,9472413793105;4,460360783645705;;3702,9472413793105;2364,839006285599;Abierta;0,1;0
2022-01-05 19:00:00;3650,46;343;I;3612,388620689655;4,497642788100631;;3612,388620689655;2263,095784259466;Abierta;0,1;0
2022-01-05 22:00:00;3527,23;374;I;3460,081724137931;4,5593149064084635;;3460,081724137931;2092,287252215392;Abierta;0,1;0
2022-01-05 22:00:00;3527,23;378;I;3410,98;4,5796205043137075;;3410,98;2037,093848705888;Abierta;0,1;0
2022-01-05 22:00:00;3527,23;385;I;3509,1834482758622;4,539009308503219;;3509,1834482758622;2147,4806557248967;Abierta;0,1;0
2022-01-05 23:00:00;3534,1;393;I;3509,1834482758622;4,5385005569522106;;3509,1834482758622;2147,6332811901993;Abierta;0,1;0
2022-01-06 01:00:00;3519,81;404;I;3509,1834482758622;4,53746637300951;;3509,1834482758622;2147,9435363730095;Abierta;0,1;0
2022-01-06 04:00:00;3446,66;437;I;3410,98;4,575932610415896;;3410,98;2038,2002168752313;Abierta;0,1;0
2022-01-06 08:00:00;3401,48;461;I;3383,75;4,584211199194204;;3383,75;2008,4866402417388;Abierta;0,1;0
2022-01-06 09:00:00;3303,32;468;I;3296,26;4,618821456831082;;3296,26;1910,6135629506757;Abierta;0,1;0
2022-01-06 09:00:00;3303,32;473;S;3383,75;4,583239667220423;3417,5875;3451,763375;2076,7914748338735;Abierta;0,1;0
2022-01-06 18:00:00;3453,1;479;I;3410,98;4,565385228330579;;3410,98;2041,3644315008264;Abierta;0,1;0
2022-01-06 21:00:00;3423,0;487;I;3410,98;4,563434838129552;;3410,98;2041,9495485611344;Abierta;0,1;0
2022-01-06 23:00:00;3401,14;493;I;3383,75;4,5729220808102875;;3383,75;2011,873375756914;Abierta;0,1;0
2022-01-07 03:00:00;3235,0;510;I;3225,4;4,632096796261964;;3225,4;1835,7709611214111;Abierta;0,1;0
2022-01-07 04:00:00;3212,38;524;I;3141,03;4,66409115045189;;3141,03;1741,8026548644334;Abierta;0,1;0
2022-01-07 07:00:00;3197,55;537;I;3141,03;4,6602341593352286;;3141,03;1742,9597521994317;Abierta;0,1;0
2022-01-07 07:00:00;3197,55;543;I;3111,55;4,67173973889626;;3111,55;1710,028078331122;Abierta;0,1;0
2022-01-07 13:00:00;3163,23;548;I;3141,03;4,6531353094650525;;3141,03;1745,0894071604844;Abierta;0,1;0
2022-01-07 15:00:00;3131,26;558;I;3126,3893103448277;4,6562114864100685;;3126,3893103448277;1729,525864421807;Abierta;0,1;0
2022-01-07 15:00:00;3131,26;559;I;3065,37;4,679569818546727;;3065,37;1661,4990544359819;Abierta;0,1;0
2022-01-07 16:00:00;3211,59;562;I;3126,3893103448277;4,655057323971468;;3126,3893103448277;1729,8721131533873;Abierta;0,1;0
2022-01-08 16:00:00;3128,75;568;I;3126,3893103448277;4,629570238115753;;3126,3893103448277;1737,5182389101017;Abierta;0,1;0
2022-01-08 17:00:00;3036,21;578;I;3032,39;4,662242611981524;;3032,39;1633,7172164055428;Abierta;0,1;0
2022-01-08 18:00:00;3005,22;596;I;2999,36;4,672679536536305;;2999,36;1597,5561390391088;Abierta;0,1;0
2022-01-08 19:00:00;3026,2;599;S;3032,39;4,659372847407636;3062,7138999999997;3093,341039;1695,529184777709;Abierta;0,1;0
2022-01-08 19:00:00;3026,2;606;I;2997,11;4,672053074743965;;2997,11;1595,494077576811;Abierta;0,1;0
2022-01-08 21:00:00;3074,96;613;I;3065,37;4,644939182218845;;3065,37;1671,8882453343463;Abierta;0,1;0
2022-01-09 15:00:00;3096,41;621;S;3147,1361224489797;4,597823792613685;3178,6074836734697;3210,3935585102045;1831,0464207260993;Abierta;0,1;0
2022-01-09 15:00:00;3096,41;624;S;3222,1491836734695;4,57204590145994;3254,3706755102044;3286,9143822653064;1915,3006118273247;Abierta;0,1;0
2022-01-09 15:00:00;3096,41;628;S;3297,162244897959;4,546268010306195;3330,133867346939;3363,4352060204083;1999,5548029285496;Abierta;0,1;0
2022-01-09 15:00:00;3096,41;629;S;3109,629591836735;4,610712738190557;3140,7258877551026;3172,1331466326537;1788,9193251754866;Abierta;0,1;0
2022-01-09 17:00:00;3165,64;643;I;3060,483103448276;4,625831325536231;;3060,483103448276;1672,7337057874067;Abierta;0,1;0
2022-01-09 20:00:00;3196,73;645;I;3147,1361224489797;4,5938449974329405;;3147,1361224489797;1768,9826232190976;Abierta;0,1;0
2022-01-09 23:00:00;3152,65;647;I;3147,1361224489797;4,591500807020306;;3147,1361224489797;1769,685880342888;Abierta;0,1;0
2022-01-10 00:00:00;3138,71;648;I;3109,629591836735;4,603359585837655;;3109,629591836735;1728,6217160854387;Abierta;0,1;0
2022-01-10 14:00:00;3014,74;657;I;2923,98;4,652895305037224;;2923,98;1528,111408488833;Abierta;0,1;0
2022-01-10 14:00:00;3014,74;658;I;2997,11;4,628788438798319;;2997,11;1608,4734683605045;Abierta;0,1;0
