DateTime,Open,High,Low,Close,Tick_Volume,Spread,Real_Volume
2025-08-08 16:00:00,762.81,764.18,762.06,762.15,1125.0,44,0.0
2025-08-08 17:00:00,762.14,766.67,761.21,766.5,1355.0,44,0.0
2025-08-08 18:00:00,766.49,768.84,766.3,768.07,1292.0,44,0.0
2025-08-08 19:00:00,768.03,769.45,767.83,767.86,981.0,44,0.0
2025-08-11 10:00:00,769.09,771.79,769.09,770.43,346.0,67,0.0
2025-08-11 11:00:00,770.41,770.41,769.42,770.14,316.0,67,0.0
2025-08-11 12:00:00,770.15,771.3,769.91,770.5,566.0,67,0.0
2025-08-11 13:00:00,770.43,773.06,766.04,767.62,2105.0,45,0.0
2025-08-11 14:00:00,767.68,773.05,766.75,768.45,2244.0,45,0.0
2025-08-11 15:00:00,768.43,770.51,767.19,768.92,1498.0,45,0.0
2025-08-11 16:00:00,768.91,772.94,768.78,771.09,1332.0,45,0.0
2025-08-11 17:00:00,771.09,772.89,769.58,769.88,1053.0,45,0.0
2025-08-11 18:00:00,769.89,770.01,765.4,767.54,1167.0,45,0.0
2025-08-11 19:00:00,767.54,768.51,765.77,766.28,916.0,45,0.0
2025-08-12 10:00:00,766.18,766.32,765.4,765.61,152.0,67,0.0
2025-08-12 11:00:00,765.77,766.23,765.07,766.08,407.0,67,0.0
2025-08-12 12:00:00,766.1,774.35,766.03,772.15,1181.0,67,0.0
2025-08-12 13:00:00,772.25,790.16,771.27,779.64,4884.0,45,0.0
2025-08-12 14:00:00,779.55,787.05,775.51,785.54,4272.0,45,0.0
2025-08-12 15:00:00,785.39,790.35,784.64,788.83,2731.0,45,0.0
2025-08-12 16:00:00,788.78,793.35,787.13,791.45,1967.0,45,0.0
2025-08-12 17:00:00,791.5,793.06,789.31,790.11,1527.0,45,0.0
2025-08-12 18:00:00,790.1,790.23,786.96,787.38,1420.0,45,0.0
2025-08-12 19:00:00,787.38,790.47,787.35,788.7,1306.0,45,0.0
2025-08-13 10:00:00,792.95,793.32,792.11,792.13,257.0,67,0.0
2025-08-13 11:00:00,792.0,792.19,790.99,791.57,299.0,67,0.0
2025-08-13 12:00:00,791.55,792.05,791.02,791.14,267.0,67,0.0
2025-08-13 13:00:00,790.99,794.99,786.66,789.96,2611.0,45,0.0
2025-08-13 14:00:00,789.87,791.17,785.06,785.63,3011.0,45,0.0
2025-08-13 15:00:00,785.56,785.97,781.66,783.92,2130.0,45,0.0
2025-08-13 16:00:00,783.92,784.2,780.47,781.21,1494.0,45,0.0
2025-08-13 17:00:00,781.18,784.84,781.07,784.62,1287.0,45,0.0
2025-08-13 18:00:00,784.58,784.64,780.95,781.05,1356.0,45,0.0
2025-08-13 19:00:00,781.08,782.11,778.04,778.18,1214.0,45,0.0
2025-08-14 10:00:00,781.09,781.46,780.76,781.18,100.0,67,0.0
2025-08-14 11:00:00,781.05,781.41,779.31,779.98,1018.0,67,0.0
2025-08-14 12:00:00,779.81,780.39,772.33,773.98,1573.0,67,0.0
2025-08-14 13:00:00,773.86,783.33,772.34,781.5,3120.0,45,0.0
2025-08-14 14:00:00,781.56,787.51,777.54,785.53,2510.0,45,0.0
2025-08-14 15:00:00,785.55,787.1,782.29,786.84,1803.0,45,0.0
2025-08-14 16:00:00,786.86,786.9,783.73,786.54,1442.0,45,0.0
2025-08-14 17:00:00,786.59,787.13,783.46,784.51,1062.0,45,0.0
2025-08-14 18:00:00,784.42,784.42,781.1,783.14,1316.0,45,0.0
2025-08-14 19:00:00,783.14,783.77,781.83,783.12,1031.0,45,0.0
2025-08-15 10:00:00,782.18,782.56,782.07,782.22,60.0,67,0.0
2025-08-15 11:00:00,782.14,786.45,782.02,785.74,337.0,67,0.0
2025-08-15 12:00:00,785.85,786.22,783.62,784.67,440.0,67,0.0
2025-08-15 13:00:00,784.65,787.87,780.71,787.17,2564.0,45,0.0
2025-08-15 14:00:00,787.08,796.04,785.75,791.34,3902.0,45,0.0
2025-08-15 15:00:00,791.33,791.67,785.85,788.54,2271.0,45,0.0
2025-08-15 16:00:00,788.52,791.25,787.59,790.94,1579.0,45,0.0
2025-08-15 17:00:00,790.89,791.14,786.9,788.65,1278.0,45,0.0
2025-08-15 18:00:00,788.65,789.04,786.9,787.58,1346.0,45,0.0
2025-08-15 19:00:00,787.58,788.04,785.7,787.76,1070.0,45,0.0
2025-08-18 10:00:00,782.55,783.81,782.42,783.75,491.0,67,0.0
2025-08-18 11:00:00,783.99,783.99,780.5,780.87,934.0,67,0.0
2025-08-18 12:00:00,780.88,781.38,778.3,778.73,1031.0,67,0.0
2025-08-18 13:00:00,778.69,779.22,756.49,760.62,5558.0,45,0.0
2025-08-18 14:00:00,760.76,767.18,760.08,766.32,3732.0,45,0.0
2025-08-18 15:00:00,766.29,767.97,763.27,765.21,2496.0,45,0.0
2025-08-18 16:00:00,765.21,766.43,764.09,765.25,1897.0,45,0.0
2025-08-18 17:00:00,765.27,767.82,764.48,765.25,1759.0,45,0.0
2025-08-18 18:00:00,765.32,768.07,765.29,768.07,1555.0,45,0.0
2025-08-18 19:00:00,768.1,771.22,767.95,770.79,1444.0,45,0.0
2025-08-19 10:00:00,765.65,765.73,764.29,764.56,329.0,67,0.0
2025-08-19 11:00:00,764.57,764.95,763.23,764.82,492.0,67,0.0
2025-08-19 12:00:00,764.82,765.45,764.04,764.33,440.0,67,0.0
2025-08-19 13:00:00,764.17,767.45,756.91,759.54,2720.0,45,0.0
2025-08-19 14:00:00,759.56,760.41,751.58,751.66,3456.0,45,0.0
2025-08-19 15:00:00,751.66,755.2,750.3,754.45,2311.0,45,0.0
2025-08-19 16:00:00,754.45,755.06,749.37,751.42,2562.0,45,0.0
2025-08-19 17:00:00,751.5,753.23,749.9,753.1,1714.0,45,0.0
2025-08-19 18:00:00,753.12,753.86,751.62,752.31,1410.0,45,0.0
2025-08-19 19:00:00,752.31,752.31,749.55,749.95,1389.0,45,0.0
2025-08-20 10:00:00,748.96,749.04,747.83,748.28,361.0,67,0.0
2025-08-20 11:00:00,748.25,749.14,745.86,746.36,775.0,67,0.0
2025-08-20 12:00:00,746.3,748.01,745.45,747.94,554.0,67,0.0
2025-08-20 13:00:00,748.0,749.73,730.78,734.07,4206.0,45,0.0
2025-08-20 14:00:00,733.92,738.62,731.98,733.8,4161.0,45,0.0
2025-08-20 15:00:00,733.7,743.13,732.99,739.1,2724.0,45,0.0
2025-08-20 16:00:00,739.11,744.57,738.85,742.41,2148.0,45,0.0
2025-08-20 17:00:00,742.28,745.98,742.05,744.68,1653.0,45,0.0
2025-08-20 18:00:00,744.68,745.64,742.52,744.54,1761.0,45,0.0
2025-08-20 19:00:00,744.56,747.94,744.56,747.62,1171.0,45,0.0
2025-08-21 10:00:00,745.13,746.05,744.37,745.65,317.0,67,0.0
2025-08-21 11:00:00,745.91,746.24,743.2,743.65,1168.0,67,0.0
2025-08-21 12:00:00,743.66,743.67,740.83,741.21,1089.0,67,0.0
2025-08-21 13:00:00,741.13,745.11,736.99,737.19,3329.0,45,0.0
2025-08-21 14:00:00,737.2,742.66,735.38,740.72,2945.0,45,0.0
2025-08-21 15:00:00,740.83,741.72,737.11,738.17,1926.0,45,0.0
2025-08-21 16:00:00,738.17,738.17,734.45,734.96,1628.0,45,0.0
2025-08-21 17:00:00,734.93,737.36,732.92,736.21,1628.0,45,0.0
2025-08-21 18:00:00,736.23,737.68,735.59,737.47,1270.0,45,0.0
2025-08-21 19:00:00,737.39,739.11,737.24,738.5,1011.0,45,0.0
2025-08-22 10:00:00,740.14,740.58,740.01,740.45,96.0,67,0.0
2025-08-22 11:00:00,740.38,741.23,739.76,739.86,550.0,67,0.0
2025-08-22 12:00:00,740.0,740.46,739.54,740.16,399.0,67,0.0
2025-08-22 13:00:00,740.14,743.77,734.37,739.36,2220.0,45,0.0
2025-08-22 14:00:00,739.6,754.06,739.6,753.08,5453.0,45,0.0
2025-08-22 15:00:00,753.1,756.68,751.59,751.7,2368.0,45,0.0
2025-08-22 16:00:00,751.7,752.9,748.56,749.21,1526.0,45,0.0
2025-08-22 17:00:00,749.21,754.21,749.02,753.53,1399.0,45,0.0
2025-08-22 18:00:00,753.57,755.11,752.97,753.05,1241.0,45,0.0
2025-08-22 19:00:00,753.05,755.02,752.54,754.08,992.0,45,0.0
2025-08-25 10:00:00,751.26,751.41,750.68,751.0,157.0,67,0.0
2025-08-25 11:00:00,750.93,751.72,750.32,751.59,300.0,67,0.0
2025-08-25 12:00:00,751.48,751.57,749.87,750.55,354.0,67,0.0
2025-08-25 13:00:00,750.54,758.22,749.98,753.93,2577.0,45,0.0
2025-08-25 14:00:00,753.93,755.21,752.06,753.51,2389.0,45,0.0
2025-08-25 15:00:00,753.51,755.86,752.56,753.74,1545.0,45,0.0
2025-08-25 16:00:00,753.74,755.44,753.74,754.88,1066.0,45,0.0
2025-08-25 17:00:00,754.84,755.92,754.15,755.67,1077.0,45,0.0
2025-08-25 18:00:00,755.68,755.71,753.54,753.59,964.0,45,0.0
2025-08-25 19:00:00,753.58,754.67,753.22,754.53,824.0,45,0.0
2025-08-26 10:00:00,751.84,752.97,751.56,752.74,322.0,67,0.0
2025-08-26 11:00:00,752.68,752.88,749.86,750.46,818.0,67,0.0
2025-08-26 12:00:00,750.42,750.58,749.33,749.52,520.0,67,0.0
2025-08-26 13:00:00,749.52,752.4,747.75,751.36,2133.0,45,0.0
2025-08-26 14:00:00,751.36,754.51,750.57,752.68,2177.0,45,0.0
2025-08-26 15:00:00,752.67,753.01,751.3,751.94,1398.0,45,0.0
2025-08-26 16:00:00,751.98,753.23,750.87,751.33,1047.0,45,0.0
2025-08-26 17:00:00,751.36,751.41,749.12,749.8,1026.0,45,0.0
2025-08-26 18:00:00,749.79,752.21,749.6,752.02,951.0,45,0.0
2025-08-26 19:00:00,752.02,753.66,751.46,752.7,872.0,45,0.0
2025-08-27 10:00:00,752.96,753.15,752.31,752.64,142.0,67,0.0
2025-08-27 11:00:00,752.51,753.49,752.51,752.86,126.0,67,0.0
2025-08-27 12:00:00,752.88,753.44,750.54,751.33,289.0,67,0.0
2025-08-27 13:00:00,751.35,753.69,746.46,747.57,2093.0,45,0.0
2025-08-27 14:00:00,747.55,752.27,747.23,748.77,1732.0,45,0.0
2025-08-27 15:00:00,748.79,748.97,746.63,748.51,1422.0,45,0.0
2025-08-27 16:00:00,748.51,748.54,742.68,745.37,1604.0,45,0.0
2025-08-27 17:00:00,745.34,746.82,744.77,746.09,903.0,45,0.0
2025-08-27 18:00:00,746.07,748.28,745.91,746.78,963.0,45,0.0
2025-08-27 19:00:00,746.81,747.08,743.99,747.0,834.0,45,0.0
2025-08-28 10:00:00,748.98,749.08,748.18,748.83,51.0,67,0.0
2025-08-28 11:00:00,748.83,748.83,746.4,747.09,329.0,67,0.0
2025-08-28 12:00:00,746.98,748.33,745.92,746.42,414.0,67,0.0
2025-08-28 13:00:00,746.52,752.19,740.69,746.19,2406.0,45,0.0
2025-08-28 14:00:00,746.25,750.43,746.13,749.46,2214.0,45,0.0
2025-08-28 15:00:00,749.45,751.34,748.87,749.79,1474.0,45,0.0
2025-08-28 16:00:00,749.82,752.78,749.47,750.6,1295.0,45,0.0
2025-08-28 17:00:00,750.6,751.62,749.63,750.68,913.0,45,0.0
2025-08-28 18:00:00,750.68,751.99,750.07,750.13,859.0,45,0.0
2025-08-28 19:00:00,750.13,750.88,749.5,750.17,801.0,45,0.0
2025-08-29 10:00:00,745.05,746.19,744.75,746.07,159.0,67,0.0
2025-08-29 11:00:00,745.9,746.66,744.13,744.93,339.0,67,0.0
2025-08-29 12:00:00,744.96,746.08,744.05,745.11,402.0,67,0.0
2025-08-29 13:00:00,745.08,746.7,739.04,739.13,2282.0,45,0.0
