DateTime,Open,High,Low,Close,Tick_Volume,Spread,Real_Volume
2025-08-08 16:00:00,225.69,230.23,225.59,229.47,6748.0,8,0.0
2025-08-08 17:00:00,229.47,230.6,228.26,229.95,5457.0,9,0.0
2025-08-08 18:00:00,229.94,230.68,228.77,228.8,4166.0,8,0.0
2025-08-08 19:00:00,228.81,229.3,228.16,228.71,3224.0,8,0.0
2025-08-11 10:00:00,227.1,227.53,227.06,227.48,251.0,14,0.0
2025-08-11 11:00:00,227.48,228.7,227.48,228.06,521.0,14,0.0
2025-08-11 12:00:00,228.06,228.17,227.68,227.92,482.0,14,0.0
2025-08-11 13:00:00,227.92,228.63,224.7,225.99,4613.0,9,0.0
2025-08-11 14:00:00,225.98,227.83,225.8,226.5,4145.0,9,0.0
2025-08-11 15:00:00,226.49,228.9,226.08,228.58,3493.0,9,0.0
2025-08-11 16:00:00,228.59,229.5,228.12,228.34,2777.0,9,0.0
2025-08-11 17:00:00,228.35,228.55,226.97,227.19,2605.0,9,0.0
2025-08-11 18:00:00,227.2,228.13,227.06,227.5,2422.0,9,0.0
2025-08-11 19:00:00,227.5,227.89,227.13,227.25,1666.0,6,0.0
2025-08-12 10:00:00,225.93,226.03,225.86,225.93,140.0,14,0.0
2025-08-12 11:00:00,225.94,226.13,225.72,225.77,247.0,14,0.0
2025-08-12 12:00:00,225.78,228.3,225.78,227.9,1046.0,14,0.0
2025-08-12 13:00:00,227.9,229.84,226.96,227.84,4320.0,9,0.0
2025-08-12 14:00:00,227.83,229.66,227.28,229.48,4233.0,9,0.0
2025-08-12 15:00:00,229.46,230.53,228.26,229.65,3845.0,9,0.0
2025-08-12 16:00:00,229.65,230.74,229.42,230.37,2164.0,9,0.0
2025-08-12 17:00:00,230.35,230.65,229.48,229.9,2116.0,9,0.0
2025-08-12 18:00:00,229.9,230.06,228.98,229.26,1429.0,9,0.0
2025-08-12 19:00:00,229.25,229.6,228.89,229.22,1324.0,8,0.0
2025-08-13 10:00:00,229.83,230.0,229.78,229.97,150.0,14,0.0
2025-08-13 11:00:00,229.97,230.04,229.82,230.0,235.0,14,0.0
2025-08-13 12:00:00,229.99,230.82,229.96,230.79,383.0,14,0.0
2025-08-13 13:00:00,230.79,232.09,230.38,231.71,3734.0,9,0.0
2025-08-13 14:00:00,231.69,234.49,231.13,233.51,5087.0,9,0.0
2025-08-13 15:00:00,233.5,233.86,231.63,232.61,4237.0,9,0.0
2025-08-13 16:00:00,232.63,233.34,232.04,232.06,2999.0,9,0.0
2025-08-13 17:00:00,232.06,233.13,231.52,233.06,2420.0,9,0.0
2025-08-13 18:00:00,233.07,234.91,230.73,233.08,5785.0,9,0.0
2025-08-13 19:00:00,233.07,234.28,233.01,233.97,2486.0,9,0.0
2025-08-14 10:00:00,232.58,232.72,232.48,232.63,114.0,14,0.0
2025-08-14 11:00:00,232.67,234.45,232.67,234.19,376.0,14,0.0
2025-08-14 12:00:00,234.08,234.22,232.16,232.79,954.0,14,0.0
2025-08-14 13:00:00,232.79,235.02,232.15,233.34,4572.0,10,0.0
2025-08-14 14:00:00,233.36,233.37,231.5,231.6,4305.0,9,0.0
2025-08-14 15:00:00,231.6,232.23,230.83,231.28,3509.0,9,0.0
2025-08-14 16:00:00,231.28,232.5,231.27,232.45,2359.0,9,0.0
2025-08-14 17:00:00,232.45,233.09,232.42,232.65,1888.0,9,0.0
2025-08-14 18:00:00,232.66,233.32,232.29,232.95,2238.0,6,0.0
2025-08-14 19:00:00,232.94,233.44,232.65,232.95,1851.0,6,0.0
2025-08-15 10:00:00,232.83,232.9,232.64,232.69,110.0,14,0.0
2025-08-15 11:00:00,232.71,233.22,232.63,233.08,215.0,14,0.0
2025-08-15 12:00:00,233.1,233.12,232.74,232.98,243.0,14,0.0
2025-08-15 13:00:00,232.98,234.14,231.75,231.99,3654.0,9,0.0
2025-08-15 14:00:00,231.96,232.63,230.71,230.82,3984.0,9,0.0
2025-08-15 15:00:00,230.83,231.51,230.43,230.97,3208.0,8,0.0
2025-08-15 16:00:00,230.96,231.31,230.44,230.87,2148.0,8,0.0
2025-08-15 17:00:00,230.87,231.18,230.2,230.85,1817.0,9,0.0
2025-08-15 18:00:00,230.84,231.24,229.29,230.73,2984.0,8,0.0
2025-08-15 19:00:00,230.73,231.65,230.54,231.61,1763.0,6,0.0
2025-08-18 10:00:00,230.98,231.02,230.94,230.98,114.0,14,0.0
2025-08-18 11:00:00,231.0,231.26,230.96,231.21,161.0,14,0.0
2025-08-18 12:00:00,231.2,231.23,230.91,231.12,242.0,14,0.0
2025-08-18 13:00:00,231.11,232.67,230.77,232.25,3432.0,9,0.0
2025-08-18 14:00:00,232.29,233.07,230.34,230.48,4772.0,9,0.0
2025-08-18 15:00:00,230.49,231.18,230.43,230.86,2418.0,9,0.0
2025-08-18 16:00:00,230.86,231.05,230.07,230.55,1874.0,9,0.0
2025-08-18 17:00:00,230.55,231.62,230.54,231.04,1605.0,6,0.0
2025-08-18 18:00:00,231.05,231.52,230.9,231.42,1597.0,6,0.0
2025-08-18 19:00:00,231.43,231.63,231.04,231.32,1245.0,9,0.0
2025-08-19 10:00:00,230.38,230.4,229.89,229.99,193.0,14,0.0
2025-08-19 11:00:00,230.04,230.45,230.01,230.44,209.0,14,0.0
2025-08-19 12:00:00,230.44,230.51,230.09,230.18,273.0,14,0.0
2025-08-19 13:00:00,230.18,232.23,230.09,232.0,3193.0,9,0.0
2025-08-19 14:00:00,231.98,232.81,230.74,230.84,4719.0,9,0.0
2025-08-19 15:00:00,230.83,231.61,230.46,231.35,3240.0,9,0.0
2025-08-19 16:00:00,231.36,231.49,230.65,230.68,2391.0,6,0.0
2025-08-19 17:00:00,230.68,230.85,230.02,230.75,2180.0,6,0.0
2025-08-19 18:00:00,230.75,230.75,229.54,229.71,2311.0,6,0.0
2025-08-19 19:00:00,229.74,230.35,229.32,230.34,1635.0,6,0.0
2025-08-20 10:00:00,229.18,229.48,229.07,229.16,127.0,14,0.0
2025-08-20 11:00:00,229.19,229.73,229.08,229.47,331.0,14,0.0
2025-08-20 12:00:00,229.5,229.58,228.51,229.32,548.0,14,0.0
2025-08-20 13:00:00,229.31,230.35,226.47,227.24,5243.0,9,0.0
2025-08-20 14:00:00,227.22,227.73,226.21,226.52,6223.0,6,0.0
2025-08-20 15:00:00,226.51,227.51,226.08,226.52,3757.0,6,0.0
2025-08-20 16:00:00,226.51,227.12,225.86,226.23,2958.0,6,0.0
2025-08-20 17:00:00,226.22,226.8,226.11,226.33,2626.0,6,0.0
2025-08-20 18:00:00,226.34,226.49,225.74,226.05,3076.0,6,0.0
2025-08-20 19:00:00,226.06,226.7,225.96,226.58,2086.0,6,0.0
2025-08-21 10:00:00,224.88,225.06,224.56,225.02,245.0,14,0.0
2025-08-21 11:00:00,225.06,225.36,224.87,225.34,221.0,14,0.0
2025-08-21 12:00:00,225.34,225.79,225.13,225.43,381.0,14,0.0
2025-08-21 13:00:00,225.38,226.43,224.63,225.16,3149.0,9,0.0
2025-08-21 14:00:00,225.17,225.96,224.97,225.25,3421.0,6,0.0
2025-08-21 15:00:00,225.3,225.79,224.47,225.22,2942.0,6,0.0
2025-08-21 16:00:00,225.22,225.23,224.51,224.58,2259.0,6,0.0
2025-08-21 17:00:00,224.59,224.78,223.74,224.53,2449.0,6,0.0
2025-08-21 18:00:00,224.52,224.55,224.07,224.48,1762.0,6,0.0
2025-08-21 19:00:00,224.48,225.02,224.36,224.72,1413.0,6,0.0
2025-08-22 10:00:00,225.66,225.95,225.66,225.95,73.0,14,0.0
2025-08-22 11:00:00,225.95,226.21,225.84,225.98,200.0,14,0.0
2025-08-22 12:00:00,225.96,226.15,225.83,225.87,201.0,14,0.0
2025-08-22 13:00:00,225.87,226.93,225.36,225.92,2661.0,9,0.0
2025-08-22 14:00:00,225.97,228.61,225.97,228.19,6034.0,9,0.0
2025-08-22 15:00:00,228.16,228.66,227.27,227.3,2770.0,9,0.0
2025-08-22 16:00:00,227.3,227.43,226.9,227.19,2250.0,6,0.0
2025-08-22 17:00:00,227.18,229.03,227.11,227.84,3713.0,8,0.0
2025-08-22 18:00:00,227.86,228.47,227.75,228.16,1861.0,9,0.0
2025-08-22 19:00:00,228.18,228.33,227.47,227.9,1443.0,6,0.0
2025-08-25 10:00:00,226.93,227.0,226.64,226.9,119.0,14,0.0
2025-08-25 11:00:00,226.91,227.0,226.66,226.95,223.0,14,0.0
2025-08-25 12:00:00,226.93,226.93,226.17,226.77,363.0,14,0.0
2025-08-25 13:00:00,226.76,229.0,226.19,228.51,3369.0,9,0.0
2025-08-25 14:00:00,228.51,229.19,228.05,228.88,3603.0,9,0.0
2025-08-25 15:00:00,228.88,229.26,228.43,229.12,2199.0,9,0.0
2025-08-25 16:00:00,229.11,229.14,228.3,228.46,1335.0,6,0.0
2025-08-25 17:00:00,228.46,228.71,228.22,228.26,1541.0,8,0.0
2025-08-25 18:00:00,228.26,228.33,227.41,227.51,1272.0,6,0.0
2025-08-25 19:00:00,227.51,227.79,227.46,227.66,987.0,6,0.0
2025-08-26 10:00:00,227.01,227.07,226.86,226.9,88.0,14,0.0
2025-08-26 11:00:00,226.9,226.95,226.51,226.67,197.0,14,0.0
2025-08-26 12:00:00,226.67,226.89,226.48,226.71,184.0,14,0.0
2025-08-26 13:00:00,226.71,226.98,224.66,225.21,2901.0,9,0.0
2025-08-26 14:00:00,225.2,227.02,224.84,226.57,3277.0,9,0.0
2025-08-26 15:00:00,226.59,227.24,226.51,226.66,1711.0,9,0.0
2025-08-26 16:00:00,226.65,227.92,226.65,227.65,1635.0,9,0.0
2025-08-26 17:00:00,227.65,228.12,227.61,227.95,1160.0,9,0.0
2025-08-26 18:00:00,227.94,228.48,227.87,227.92,1346.0,9,0.0
2025-08-26 19:00:00,227.93,228.67,227.73,228.31,1353.0,6,0.0
2025-08-27 10:00:00,229.21,229.26,229.09,229.23,97.0,14,0.0
2025-08-27 11:00:00,229.23,229.46,229.23,229.29,147.0,14,0.0
2025-08-27 12:00:00,229.34,229.5,228.41,229.18,350.0,14,0.0
2025-08-27 13:00:00,229.2,230.17,228.23,229.7,3511.0,9,0.0
2025-08-27 14:00:00,229.72,230.65,229.25,230.12,3231.0,9,0.0
2025-08-27 15:00:00,230.15,230.29,229.26,229.87,1970.0,9,0.0
2025-08-27 16:00:00,229.87,230.04,229.57,229.74,1385.0,9,0.0
2025-08-27 17:00:00,229.73,230.04,229.63,229.94,1048.0,8,0.0
2025-08-27 18:00:00,229.94,230.63,229.85,230.11,1214.0,6,0.0
2025-08-27 19:00:00,230.11,230.52,229.68,230.51,1134.0,8,0.0
2025-08-28 10:00:00,231.1,231.2,231.02,231.13,64.0,14,0.0
2025-08-28 11:00:00,231.09,231.11,230.8,231.01,136.0,14,0.0
2025-08-28 12:00:00,231.01,231.17,230.83,230.88,313.0,14,0.0
2025-08-28 13:00:00,230.88,231.41,229.28,230.37,3066.0,9,0.0
2025-08-28 14:00:00,230.39,231.84,229.97,231.3,3296.0,9,0.0
2025-08-28 15:00:00,231.32,231.74,230.67,231.51,2166.0,9,0.0
2025-08-28 16:00:00,231.51,232.54,231.38,232.41,1584.0,8,0.0
2025-08-28 17:00:00,232.42,233.33,232.35,233.12,1390.0,8,0.0
2025-08-28 18:00:00,233.11,233.36,232.65,232.81,1307.0,8,0.0
2025-08-28 19:00:00,232.81,233.01,232.6,232.91,968.0,6,0.0
2025-08-29 10:00:00,231.5,231.5,231.22,231.37,91.0,14,0.0
2025-08-29 11:00:00,231.38,232.2,231.38,232.06,176.0,14,0.0
2025-08-29 12:00:00,232.07,232.78,231.91,232.75,245.0,14,0.0
2025-08-29 13:00:00,232.76,233.28,231.78,232.52,3257.0,10,0.0
2025-08-29 14:00:00,232.55,233.1,231.32,232.82,4490.0,9,0.0
2025-08-29 15:00:00,232.81,233.06,231.34,231.71,3063.0,8,0.0
2025-08-29 16:00:00,231.7,232.92,231.68,232.82,1827.0,8,0.0
2025-08-29 17:00:00,232.81,232.82,231.95,232.28,1748.0,8,0.0
