DateTime,Open,High,Low,Close,Tick_Volume,Spread,Real_Volume
2025-08-18 14:00:00,332.17,334.21,330.64,333.28,11573.0,8,0.0
2025-08-18 15:00:00,333.26,333.93,332.68,333.17,5840.0,8,0.0
2025-08-18 16:00:00,333.16,335.3,333.15,333.34,6406.0,8,0.0
2025-08-18 17:00:00,333.36,335.71,333.3,334.59,4680.0,8,0.0
2025-08-18 18:00:00,334.59,335.48,333.64,335.34,4109.0,8,0.0
2025-08-18 19:00:00,335.34,336.21,334.46,334.93,3936.0,8,0.0
2025-08-19 10:00:00,334.82,335.1,334.47,334.71,548.0,10,0.0
2025-08-19 11:00:00,334.73,335.01,334.02,334.97,593.0,15,0.0
2025-08-19 12:00:00,334.97,336.12,334.56,335.43,981.0,13,0.0
2025-08-19 13:00:00,335.43,339.5,333.25,338.95,9869.0,8,0.0
2025-08-19 14:00:00,338.93,340.5,331.7,332.29,18278.0,8,0.0
2025-08-19 15:00:00,332.27,333.82,330.63,332.92,10714.0,8,0.0
2025-08-19 16:00:00,332.91,333.93,330.03,330.35,8262.0,8,0.0
2025-08-19 17:00:00,330.36,330.99,327.82,330.38,9322.0,8,0.0
2025-08-19 18:00:00,330.39,330.44,327.96,329.07,6431.0,8,0.0
2025-08-19 19:00:00,329.06,330.33,327.97,330.28,5010.0,8,0.0
2025-08-20 10:00:00,328.62,328.71,327.86,328.16,599.0,16,0.0
2025-08-20 11:00:00,328.16,329.04,327.36,328.11,995.0,16,0.0
2025-08-20 12:00:00,328.11,328.39,327.82,327.97,884.0,15,0.0
2025-08-20 13:00:00,327.98,331.25,319.29,321.4,13974.0,8,0.0
2025-08-20 14:00:00,321.38,322.74,314.6,316.02,20894.0,8,0.0
2025-08-20 15:00:00,316.04,320.98,315.6,318.13,12356.0,8,0.0
2025-08-20 16:00:00,318.12,322.02,317.94,320.33,8245.0,8,0.0
2025-08-20 17:00:00,320.31,324.01,320.11,322.7,7584.0,8,0.0
2025-08-20 18:00:00,322.68,322.96,319.55,321.16,8587.0,8,0.0
2025-08-20 19:00:00,321.18,323.91,321.16,323.56,4996.0,8,0.0
2025-08-21 10:00:00,323.81,323.98,323.13,323.71,506.0,15,0.0
2025-08-21 11:00:00,323.68,324.11,322.64,322.89,769.0,17,0.0
2025-08-21 12:00:00,322.86,323.39,320.87,321.08,1407.0,16,0.0
2025-08-21 13:00:00,321.06,324.82,319.03,320.72,10729.0,8,0.0
2025-08-21 14:00:00,320.74,324.43,319.65,323.22,11660.0,8,0.0
2025-08-21 15:00:00,323.25,323.53,320.64,321.22,8018.0,8,0.0
2025-08-21 16:00:00,321.22,321.36,319.24,319.59,6600.0,8,0.0
2025-08-21 17:00:00,319.62,321.29,318.66,320.82,6452.0,8,0.0
2025-08-21 18:00:00,320.8,322.09,319.83,321.9,4784.0,8,0.0
