DateTime,Open,High,Low,Close,Tick_Volume,Spread,Real_Volume
2021-10-27 17:00:00,147.94,148.17,147.58,147.79,457,13,0
2021-10-28 13:00:00,146.33,146.83,145.22,145.25,953,13,0
2021-10-28 14:00:00,145.23,145.66,144.59,145.25,1622,13,0
2021-10-28 15:00:00,145.27,146.56,145.12,145.94,1297,7,0
2021-10-28 16:00:00,145.95,146.38,145.66,145.84,1172,7,0
2021-10-28 17:00:00,145.84,146.16,145.63,145.79,972,7,0
2021-10-28 18:00:00,145.8,146.02,145.33,145.5,1106,7,0
2021-10-28 19:00:00,145.5,145.79,145.14,145.15,1016,7,0
2021-10-29 13:00:00,145.76,146.14,145.19,145.29,736,13,0
2021-10-29 14:00:00,145.29,146.33,145.01,146.14,1700,7,0
2021-10-29 15:00:00,146.14,147.8,146.14,147.57,1552,7,0
2021-10-29 16:00:00,147.56,148.06,147.38,147.41,1124,7,0
2021-10-29 17:00:00,147.39,147.65,146.99,147.18,967,7,0
2021-10-29 18:00:00,147.18,147.48,146.63,147.36,1161,7,0
2021-10-29 19:00:00,147.36,147.75,147.34,147.52,997,7,0
2021-11-01 13:00:00,146.56,146.64,145.38,145.66,816,13,0
2021-11-01 14:00:00,145.61,145.86,145.03,145.34,1922,13,0
2021-11-01 15:00:00,145.34,145.61,145.09,145.48,1094,13,0
2021-11-01 16:00:00,145.47,145.56,144.68,144.8,1159,7,0
2021-11-01 17:00:00,144.79,145.15,144.07,144.32,1244,13,0
2021-11-01 18:00:00,144.31,144.38,143.66,143.67,1245,13,0
2021-11-01 19:00:00,143.66,143.97,143.49,143.8,961,7,0
2021-11-02 13:00:00,145.88,146.25,145.41,146.08,722,13,0
2021-11-02 14:00:00,146.09,146.54,145.61,146.33,1511,13,0
2021-11-02 15:00:00,146.33,146.49,145.34,145.46,1105,13,0
2021-11-02 16:00:00,145.46,145.7,144.89,145.5,922,13,0
2021-11-02 17:00:00,145.5,145.8,144.98,144.98,942,7,0
